Date,Description,Amount
2026-01-02,PAYROLL DEPOSIT - TECH INC,2850.00
2026-01-03,LOBLAWS SUPERSTORE TORONTO,-142.50
2026-01-05,STARBUCKS COFFEE #412,-6.25
2026-01-08,ROGERS INTERNET MONTHLY BILL,-85.00
2026-01-10,PRESTO TRANSIT AUTO-RECHARGE,-50.00
2026-01-12,CHIPOTLE MEXICAN GRILL,-18.45
2026-01-15,SPOTIFY PREMIUM CANADA,-11.99
2026-01-16,PAYROLL DEPOSIT - TECH INC,2850.00
2026-01-18,METRO GROCERY STORE,-89.30
2026-01-20,AMAZON.CA ORDER #114-5829,-45.99
2026-01-22,UBER TRIP TORONTO,-24.50
2026-01-25,SHOPPERS DRUG MART #214,-32.15
2026-01-28,NETFLIX CANADA SUBSCRIPTION,-16.99
2026-02-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-02-02,COSTCO WHOLESALE WAREHOUSE,-215.80
2026-02-04,TIM HORTONS #892,-4.50
2026-02-07,TORONTO HYDRO ELECTRIC BILL,-68.40
2026-02-10,T&T SUPERMARKET DOWNTOWN,-76.20
2026-02-14,VALENTINES DINNER - CANOE RESTAURANT,-145.00
2026-02-15,PAYROLL DEPOSIT - TECH INC,2850.00
2026-02-18,UNIQLO EATON CENTRE,-89.90
2026-02-22,SHELL GAS STATION,-55.00
2026-02-25,FREELANCE WEB CONSULTING PAYMENT,650.00
2026-03-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-03-03,FARM BOY GROCERY,-64.12
2026-03-06,APPLE ICLOUD STORAGE 200GB,-3.99
2026-03-10,KINTON RAMEN CHURCH ST,-22.50
2026-03-15,PAYROLL DEPOSIT - TECH INC,2850.00
2026-03-18,LOBLAWS SUPERSTORE TORONTO,-135.40
2026-03-22,CINEPLEX VIP CINEMAS,-38.50
2026-03-28,BEST BUY CANADA - TECH ACCESSORIES,-129.99
2026-04-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-04-03,METRO GROCERY STORE,-98.60
2026-04-07,ROGERS INTERNET MONTHLY BILL,-85.00
2026-04-12,PRESTO TRANSIT AUTO-RECHARGE,-50.00
2026-04-15,PAYROLL DEPOSIT - TECH INC,2850.00
2026-04-18,COSTCO WHOLESALE WAREHOUSE,-189.40
2026-04-22,AMAZON.CA ORDER #774-1209,-67.20
2026-04-26,INDIGO BOOKS EATON CENTRE,-34.50
2026-05-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-05-04,T&T SUPERMARKET DOWNTOWN,-84.30
2026-05-08,STARBUCKS COFFEE #412,-6.75
2026-05-12,UBER EATS - SUSHI DELIVERY,-42.80
2026-05-15,PAYROLL DEPOSIT - TECH INC,2850.00
2026-05-19,LOBLAWS SUPERSTORE TORONTO,-112.90
2026-05-24,SHELL GAS STATION,-62.00
2026-05-28,FREELANCE TUTORING INCOME,350.00
2026-06-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-06-05,COSTCO WHOLESALE WAREHOUSE,-240.15
2026-06-09,ROGERS INTERNET MONTHLY BILL,-85.00
2026-06-15,PAYROLL DEPOSIT - TECH INC,2850.00
2026-06-20,SUMMER PATIO DINING - DISTILLERY,-94.50
2026-06-25,AMAZON.CA ELECTRONICS SALE,-149.99
2026-07-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-07-04,METRO GROCERY STORE,-105.40
2026-07-10,PRESTO TRANSIT AUTO-RECHARGE,-50.00
2026-07-15,PAYROLL DEPOSIT - TECH INC,2850.00
2026-07-22,FARM BOY GROCERY,-78.90
2026-07-28,RECREATION & FITNESS MEMBERSHIP,-65.00
2026-08-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-08-05,LOBLAWS SUPERSTORE TORONTO,-148.20
2026-08-11,TIM HORTONS #892,-5.25
2026-08-15,PAYROLL DEPOSIT - TECH INC,2850.00
2026-08-20,COSTCO WHOLESALE WAREHOUSE,-195.60
2026-08-27,SHOPPERS DRUG MART #214,-41.80
2026-09-01,PAYROLL DEPOSIT - TECH INC,2850.00
2026-09-03,METRO GROCERY STORE,-118.50
2026-09-06,STARBUCKS COFFEE #412,-6.75
2026-09-08,ROGERS INTERNET MONTHLY BILL,-85.00
